Team,Season,HDCF,Time Led,Playoff Wins,GF_EN,GA_EN,PP%,PK%,W,ROW,,,,,
DAL,2013,46.57,19.37,-1,1,5,17.0,81.0,22,20,,,,,
DET,2013,52,20.62,7,4,2,18.4,81.7,24,22,,,,,
EDM,2013,42.98,18.1,-1,4,5,20.1,83.4,19,17,,,,,
FLA,2013,47.05,10.8,-1,6,7,20.4,74.2,15,12,,,,,
L.A,2013,54.88,22.55,9,5,3,19.9,83.2,27,25,,,,,
MIN,2013,55.68,19.03,1,3,2,17.9,80.7,26,22,,,,,
MTL,2013,54.65,23.9,1,3,2,20.7,79.8,29,26,,,,,
NSH,2013,49.61,12.87,-1,2,5,17.1,75.5,16,14,,,,,
N.J,2013,57.29,15.73,-1,3,5,15.9,81.1,19,17,,,,,
NYI,2013,51.6,18.47,2,8,8,19.9,80.3,24,20,,,,,
NYR,2013,57.36,18.57,5,3,7,15.7,81.1,26,22,,,,,
OTT,2013,51.68,16.55,5,7,2,15.9,88.0,25,21,,,,,
PHI,2013,47.81,21.88,-1,5,9,21.6,85.9,23,22,,,,,
ARI,2013,47.22,18.85,-1,4,4,14.8,79.9,21,17,,,,,
PIT,2013,49.46,27.95,8,10,3,24.7,79.6,36,33,,,,,
S.J,2013,55.66,18.35,7,2,4,20.1,85.0,25,17,,,,,
STL,2013,50.1,21.87,2,3,3,19.5,84.7,29,24,,,,,
T.B,2013,49.91,17.18,-1,4,7,19.0,80.6,18,17,,,,,
TOR,2013,44.28,25.72,3,5,6,18.7,87.9,26,26,,,,,
VAN,2013,51.88,23.97,0,6,3,15.8,84.0,26,21,,,,,
WSH,2013,46.87,21.68,3,3,2,26.8,77.9,27,24,,,,,
WPG,2013,48.7,18.48,-1,5,5,13.8,79.7,24,22,,,,,
ANA,2014,52.62,23.92,7,8,4,16.0,82.2,54,51,,,,,
BOS,2014,53.36,25.5,7,14,1,21.7,83.7,54,51,,,,,
BUF,2014,41.41,8.05,-1,5,12,14.1,81.4,21,14,,,,,
CGY,2014,46.69,14.33,-1,3,10,15.7,81.7,35,28,,,,,
CAR,2014,46.28,16.08,-1,8,11,14.6,81.7,36,34,,,,,
CHI,2014,55.03,22.13,11,8,5,19.5,81.5,46,40,,,,,
COL,2014,47.25,22.18,3,13,7,19.8,80.7,52,47,,,,,
CBJ,2014,53.52,21.75,2,8,8,19.3,82.1,43,38,,,,,
DAL,2014,50.34,21.83,2,8,7,15.9,81.4,40,36,,,,,
DET,2014,48.41,20.8,1,6,7,17.7,83.1,39,34,,,,,
EDM,2014,44.14,14.38,-1,8,10,17.0,82.1,29,25,,,,,
FLA,2014,48.75,11.25,-1,4,9,10.0,76.0,29,21,,,,,
L.A,2014,54.38,20.02,16,9,3,15.1,83.1,46,38,,,,,
MIN,2014,53.18,18.83,6,7,9,17.9,78.8,43,35,,,,,
MTL,2014,50.65,20.28,10,10,6,17.2,85.1,46,40,,,,,
NSH,2014,52.87,18.4,-1,6,5,19.2,80.3,38,36,,,,,
N.J,2014,58.93,18.67,-1,5,11,19.5,86.4,35,35,,,,,
NYI,2014,47.15,14.85,-1,6,12,17.8,78.1,34,25,,,,,
NYR,2014,54.48,19.75,13,7,4,18.2,85.3,45,41,,,,,
OTT,2014,47.46,18.05,-1,8,7,18.5,80.9,37,30,,,,,
PHI,2014,49.53,19.65,3,12,8,19.7,84.8,42,39,,,,,
ARI,2014,45.18,20.6,-1,5,12,19.9,79.0,37,31,,,,,
PIT,2014,50.64,22.53,7,8,3,23.4,85.0,51,44,,,,,
S.J,2014,56.04,24.3,3,7,5,17.2,84.9,51,41,,,,,
STL,2014,55.08,23.9,2,9,6,19.8,85.7,52,43,,,,,
T.B,2014,51.3,19.75,0,9,9,18.5,80.7,46,38,,,,,
TOR,2014,41.66,16.82,-1,8,12,19.8,78.4,38,29,,,,,
VAN,2014,51.55,16.33,-1,2,11,15.2,83.2,36,31,,,,,
WSH,2014,46.63,16.7,-1,4,5,23.4,82.0,38,28,,,,,
WPG,2014,49.68,15.05,-1,8,4,15.4,83.2,37,29,,,,,
ANA,2015,52.19,21.32,11,12,8,15.7,81.0,51,43,,,,,
ARI,2015,43.69,12.63,-1,4,14,20.0,76.7,24,19,,,,,
BOS,2015,51.57,19.17,-1,8,7,17.8,82.0,41,37,,,,,
BUF,2015,40.95,11.03,-1,4,10,13.4,75.1,23,15,,,,,
CGY,2015,45.68,16.82,5,12,11,18.8,80.6,45,41,,,,,
CAR,2015,48.54,16.6,-1,8,11,18.8,84.7,30,25,,,,,
CHI,2015,50.19,19.4,16,12,8,17.6,83.4,48,39,,,,,
COL,2015,43.44,15.48,-1,6,14,15.0,84.6,39,29,,,,,
CBJ,2015,48.79,16.47,-1,11,12,21.7,80.2,42,33,,,,,
DAL,2015,54.09,22.18,-1,9,12,19.0,80.7,41,37,,,,,
DET,2015,53.29,17.08,3,12,11,23.8,80.9,43,39,,,,,
EDM,2015,43.25,14.67,-1,8,10,17.7,76.7,24,19,,,,,
FLA,2015,50,15.58,-1,7,7,16.3,80.0,38,30,,,,,
L.A,2015,53.45,22.33,-1,6,12,19.0,80.9,40,38,,,,,
MIN,2015,53.51,21.17,4,9,6,15.9,86.3,46,42,,,,,
MTL,2015,49.9,19.12,6,13,8,16.5,83.7,50,43,,,,,
NSH,2015,54.18,18.9,2,5,14,16.2,80.8,47,41,,,,,
N.J,2015,47.99,18.52,-1,9,13,19.3,80.6,32,27,,,,,
NYI,2015,56.65,22.23,3,9,8,18.7,78.0,47,40,,,,,
NYR,2015,51.6,24.73,11,12,6,16.8,84.3,53,49,,,,,
OTT,2015,52.31,17.93,2,12,5,16.8,82.9,43,37,,,,,
PHI,2015,44.99,16.35,-1,8,10,23.4,77.1,33,30,,,,,
PIT,2015,50.96,22.8,1,6,7,19.3,84.8,43,39,,,,,
S.J,2015,52.21,21.18,-1,19,14,21.7,78.5,40,36,,,,,
STL,2015,53.8,20.57,2,10,5,22.3,83.7,51,42,,,,,
T.B,2015,54.66,22.3,14,12,7,18.8,83.7,50,47,,,,,
TOR,2015,45.42,13.85,-1,8,12,15.9,80.5,30,25,,,,,
VAN,2015,49.05,19.33,2,21,14,19.3,85.7,48,42,,,,,
WSH,2015,50.21,22.78,7,11,5,25.3,81.2,45,40,,,,,
WPG,2015,52.58,24.43,0,9,11,17.8,81.8,43,36,,,,,
ANA,2016,52.22,23.55,3,12,5,23.1,87.2,46,43,,,,,
ARI,2016,48.17,17.37,-1,9,14,17.7,77.3,35,34,,,,,
BOS,2016,48.19,21.28,-1,13,14,20.5,82.2,42,38,,,,,
BUF,2016,47.7,15.18,-1,13,12,18.9,82.6,35,33,,,,,
CGY,2016,48.07,18.75,-1,7,16,17.0,75.5,35,33,,,,,
CAR,2016,49.45,16.68,-1,7,9,16.8,84.3,36,33,,,,,
CHI,2016,47.78,22.9,3,17,9,22.6,80.3,47,46,,,,,
COL,2016,42.15,20.17,-1,10,20,18.0,80.2,39,35,,,,,
CBJ,2016,54.92,15.57,-1,11,18,17.3,81.0,34,28,,,,,
DAL,2016,52.54,20.87,7,25,5,22.1,82.3,50,48,,,,,
DET,2016,48.93,17.58,1,9,12,18.8,81.5,41,39,,,,,
EDM,2016,46.12,13.22,-1,6,13,18.1,81.1,31,27,,,,,
FLA,2016,49.41,23.87,2,15,10,16.9,79.5,47,40,,,,,
L.A,2016,57.55,20.58,1,9,8,20.0,81.4,48,46,,,,,
MIN,2016,48.66,19.22,2,15,11,18.5,77.9,38,35,,,,,
MTL,2016,50.69,18.67,-1,10,12,16.2,81.9,37,33,,,,,
NSH,2016,54.27,21.53,7,14,11,19.7,81.2,41,37,,,,,
N.J,2016,49.63,15.97,-1,7,13,19.9,83.0,38,36,,,,,
NYI,2016,48.22,19.08,5,14,12,18.3,84.5,45,40,,,,,
NYR,2016,47.79,21.97,1,16,14,18.6,78.2,46,43,,,,,
OTT,2016,47,15.5,-1,16,16,15.8,75.8,38,32,,,,,
PHI,2016,50.58,16.83,2,11,9,18.9,80.5,41,38,,,,,
PIT,2016,56.65,20.68,16,12,8,18.4,84.4,48,44,,,,,
S.J,2016,56.27,20.8,14,18,18,22.5,80.5,46,42,,,,,
